seed,alg,strat,split,epoch,loss,acc,precision,recall,f1,speed,time
7124,Embed,owasp,5,1243,0.15,94,96,91,0.94,1071.9,114.34
7124,Embed,owasp,2,932,0.2,91,94,86,0.9,1194.67,85.57
7124,Embed,owasp,3,586,0.37,84,78,93,0.85,1151.55,53.6
7124,Embed,owasp,1,467,0.42,82,84,79,0.81,1124.76,42.99
7124,KOTI,owasp,2,285,0.41,81,82,79,0.81,1208.29,26.02
7124,KOTI,owasp,3,201,0.42,81,81,79,0.8,1142,18.5
7124,KOTI,owasp,4,104,0.45,81,76,89,0.82,1192.8,9.7
9876,KOTI,owasp,2,185,0.45,81,82,78,0.8,1189.74,17.23
9876,KOTI,owasp,4,251,0.43,81,77,86,0.81,1101.32,23.8
7124,KOT,owasp,2,385,0.43,80,78,81,0.8,1169.08,35.1
7124,Embed,owasp,4,61,0.49,80,81,77,0.79,1179.44,5.7
9876,KOT,owasp,2,371,0.44,80,81,78,0.79,1084.59,34.08
9876,KOT,owasp,3,260,0.45,80,79,80,0.79,920.5,23.6
9876,KOTI,owasp,3,83,0.49,80,81,78,0.8,1139.13,7.75
7124,KOTI,owasp,5,395,0.44,79,82,74,0.78,1153.76,35.74
7124,KOT,owasp,3,181,0.48,78,75,81,0.78,1212.34,16.48
7124,KOT,owasp,4,217,0.5,78,72,89,0.8,1209.51,19.92
7124,KOTI,owasp,1,244,0.46,78,83,69,0.75,1135.95,22.36
9876,KOT,owasp,4,144,0.5,78,73,86,0.79,1023.5,13.39
9876,KOTI,owasp,1,91,0.5,78,78,77,0.77,1100.79,8.61
7124,KOT,owasp,1,432,0.48,77,80,71,0.75,1131.13,39.63
7124,KOT,owasp,5,476,0.48,77,85,65,0.74,1164.35,43.28
9876,KOTI,owasp,5,183,0.49,77,73,85,0.78,829.91,17.52
9876,KOT,owasp,1,246,0.49,76,78,70,0.74,1137.72,22.48
9876,KOT,owasp,5,120,0.55,74,75,73,0.74,941.8,11.13
1,KOT,owasp,1,551,0.46,78.105,79,77,0.78,580.14,113.09
1,KOT,owasp,2,221,0.47,79.536,79,81,0.8,261.72,49.85
1,KOT,owasp,3,258,0.46,78.903,79,77,0.78,280.83,58.6
1,KOT,owasp,4,139,0.51,78.481,75,84,0.8,280.71,31.21
1,KOT,owasp,5,383,0.49,76.582,74,81,0.78,298.35,86.72
1,KOTI,owasp,1,148,0.56,77.895,82,71,0.76,350.61,23.78
1,KOTI,owasp,2,82,0.47,81.013,80,83,0.81,416.67,12.97
1,KOTI,owasp,3,112,0.45,80.169,81,79,0.8,391.77,18.06
1,KOTI,owasp,4,100,0.46,80.591,77,88,0.82,423.66,16.16
1,KOTI,owasp,5,102,0.53,77.215,73,85,0.79,387.5,16.47
1,Embed,owasp,1,1774,0.1,95.579,95,96,0.96,945.79,152.64
1,Embed,owasp,2,603,0.28,87.764,88,87,0.88,828.88,50.32
1,Embed,owasp,3,2104,0.1,96.835,97,97,0.97,919.25,179.47
1,Embed,owasp,4,1614,0.07,97.679,97,98,0.98,935.61,137.26
1,Embed,owasp,5,1553,0.12,95.148,93,97,0.95,896.66,130.7
0,KOT,owasp,1,751,0.46,77,76,77,0.77,886.35,133.35
0,KOT,owasp,2,421,0.45,78,76,82,0.79,351.46,95
0,KOT,owasp,3,458,0.48,74,68,90,0.77,383.59,100.74
0,KOT,owasp,4,339,0.46,78,77,80,0.78,292.68,78.7
0,KOT,owasp,5,583,0.52,74,85,58,0.69,546.94,116.74
0,KOTI,owasp,1,348,0.48,77,74,81,0.78,1073.17,53.39
0,KOTI,owasp,2,282,0.61,74,90,55,0.68,356.62,46.58
0,KOTI,owasp,3,312,0.45,79,84,72,0.77,873.03,50.55
0,KOTI,owasp,4,300,0.5,76,87,59,0.71,591.26,49.5
0,KOTI,owasp,5,302,0.49,76,79,70,0.74,524.56,49.43
0,Embed,owasp,1,1974,0.11,95,97,93,0.95,875.88,170.84
0,Embed,owasp,2,803,0.29,84,83,84,0.84,916.94,67.6
0,Embed,owasp,3,2304,0.1,95,92,97,0.95,909.4,196.74
0,Embed,owasp,4,1814,0.09,95,98,92,0.95,924.14,154.79
0,Embed,owasp,5,1753,0.14,92,94,91,0.92,918.67,147.95